Sr.,Stock Name,Symbol,Links,% Chg,Price,Volume
97,Coromandel International Limited,COROMANDEL,P&F | F.A,-1.12%,1087.75,"5,13,398"
32,Tata Consultancy Services Limited,TCS,P&F | F.A,-1.13%,3831.05,"13,17,312"
125,HDFC Life Insurance Company Ltd,HDFCLIFE,P&F | F.A,-1.16%,594.2,"40,96,089"
91,Tech Mahindra Limited,TECHM,P&F | F.A,-1.21%,1185.7,"13,75,843"
159,Aditya Birla Fashion And Retail Limited,ABFRL,P&F | F.A,-1.35%,259.95,"1,47,88,426"
56,Grasim Industries Limited,GRASIM,P&F | F.A,-1.37%,2337.75,"10,21,874"
4,Bosch Limited,BOSCHLTD,P&F | F.A,-1.43%,28858,"30,991"
39,Persistent Systems Limited,PERSISTENT,P&F | F.A,-1.78%,3466.4,"11,65,495"
161,Mahindra & Mahindra Financial Services Limited,M&MFIN,P&F | F.A,-2.09%,257.95,"84,10,045"
177,Zee Entertainment Enterprises Limited,ZEEL,P&F | F.A,-2.40%,140.1,"1,97,18,041"
101,Max Financial Services Limited,MFSL,P&F | F.A,-2.66%,1030.75,"21,20,357"
40,Navin Fluorine International Limited,NAVINFLUOR,P&F | F.A,-2.69%,3283.5,"3,08,352"
106,Zydus Lifesciences Ltd,ZYDUSLIFE,P&F | F.A,-2.70%,933.5,"34,33,345"
127,Icici Prudential Life Insurance Company Limited,ICICIPRULI,P&F | F.A,-3.06%,575.65,"73,51,418"
151,Indus Towers Ltd (Bharti Infratel),INDUSTOWER,P&F | F.A,-3.10%,348.35,"2,08,61,048"
137,Exide Industries Limited,EXIDEIND,P&F | F.A,-3.66%,444.55,"92,63,587"
31,Multi Commodity Exchange Of India Limited,MCX,P&F | F.A,-4.54%,3839.45,"35,52,250"
95,TATA Consumer Products Ltd,TATACONSUM,P&F | F.A,-5.39%,1110.15,"64,47,489"
183,Idea Cellular Limited,IDEA,P&F | F.A,-9.03%,13.1,"1,63,46,06,447"
